VT;VU;AP;DPXV;DSBM;DSIG;DCTC;DABM;ND;NB;NS;NG;MO;PSN;CH;PC;BRO;COORD_E;COORD_N
1289970;11727;110;3349;1605;5738;5997;286;3;2;1;2;SM;S;S;A;Agronomica;743182;6947480
1900000;11875;160;2302;558;6244;6503;179;3;5;3;3;MO;S;S;A;Agronomica;742575;6946809
550041;6627;83;4290;2546;2446;3617;369;2;2;1;2;SM;S;S;A;Agronomica;743948;6947188
527972;6947;76;3271;1527;5660;5919;302;3;2;1;1;SM;N;N;M;Agronomica;743067;6947392
830000;10375;80;3318;1574;5707;5966;323;2;3;2;2;SM;S;S;A;Agronomica;742920;6947278
1390040;9145;152;2006;262;6240;6499;154;3;1;1;2;SM;S;S;A;Agronomica;742500;6946583
693780;11190;62;2171;427;6114;6373;256;3;1;0;1;N;S;S;A;Agronomica;742613;6946613
539981;7397;73;3891;2147;2898;4069;322;2;2;1;1;MO;N;S;M;Agronomica;743429;6947500
1949043;13823;141;3240;1496;5629;5888;224;3;3;1;2;SM;S;S;A;Agronomica;742996;6947440
1600029;11511;139;2869;1125;5250;5509;72;3;2;1;1;MO;N;S;A;Agronomica;742557;6947232
415020;6917;60;4224;2480;2694;3865;376;2;1;0;1;SM;N;N;B;Agronomica;743801;6947303
1980055;7645;259;2705;961;6025;6284;70;4;4;2;2;SM;S;S;M;Agronomica;742577;6947275
1229984;10982;112;4096;2352;3103;4274;360;3;3;3;2;N;S;S;A;Agronomica;743441;6947456
1150065;8519;135;2477;733;5797;6056;175;3;3;1;1;SM;S;S;A;Agronomica;742614;6947022
1545049;13673;113;5283;3539;2361;3532;102;3;4;3;3;N;S;S;A;Agronomica;744210;6947272
599976;5128;117;2466;722;5786;6045;158;2;2;1;1;N;S;S;B;Agronomica;742598;6947028
2100120;7955;264;2318;574;6260;6519;140;4;4;2;2;SM;S;S;M;Agronomica;742549;6946879
539978;7297;74;4071;2327;2795;3966;378;2;2;1;1;SM;S;S;A;Agronomica;743703;6947346
3600090;16290;221;2032;288;6266;6525;106;3;5;3;3;SM;S;S;A;Agronomica;742452;6946593
1800000;10000;180;3169;1425;4945;5204;91;3;5;2;2;SM;S;S;A;Agronomica;742781;6947465
1800000;11250;160;2302;558;6244;6503;181;3;5;3;3;N;S;S;A;Agronomica;742581;6946826
1679958;12537;134;2789;1045;5177;5436;126;3;4;1;1;SM;S;N;A;Agronomica;742661;6947306
959000;6850;140;2043;299;5985;6244;136;3;4;1;1;N;S;S;A;Agronomica;742495;6946637
430010;6143;70;6882;5138;1827;2105;1052;3;2;1;1;SM;N;N;M;Trindade;744142;6945971
495040;4420;112;6536;4792;1481;1537;1031;2;3;1;1;MO;N;N;M;Trindade;744516;6945950
489971;7313;67;5948;5882;2061;984;1974;2;1;0;1;N;N;N;M;Trindade;744877;6945053
479988;7164;67;6778;5034;2351;1274;1314;2;2;1;1;SM;S;S;M;Trindade;744573;6945671
536276;10313;52;6033;5852;2146;1069;1883;2;1;0;1;N;N;S;A;Trindade;744992;6945178
870010;9158;95;6316;5605;1366;1352;1595;4;3;2;2;SM;S;S;A;Trindade;744940;6945463
650048;5804;112;4302;5755;1992;915;1757;4;3;2;2;SM;N;S;M;Trindade;744527;6945224
445036;4588;97;3968;6683;1952;875;1900;2;2;1;1;N;N;S;B;Trindade;744363;6945080
495016;5756;86;6726;4982;2402;1325;1251;3;2;1;1;SM;N;N;M;Trindade;744581;6945735
969025;11675;83;6356;5645;1326;1392;1602;3;3;1;2;MO;S;S;A;Trindade;745004;6945478
858990;9042;95;6316;5605;1366;1352;1653;3;3;1;2;SM;S;S;A;Trindade;745022;6945430
369990;8222;45;4956;3212;2187;2465;353;1;1;1;1;N;N;S;A;Trindade;744180;6946744
349992;4861;72;7043;5299;2546;1469;1345;3;2;0;1;N;N;N;B;Trindade;744821;6945688
439976;5116;86;6504;4760;1449;1727;886;2;2;1;1;SM;N;N;B;Trindade;744412;6946093
974974;10714;91;5327;3583;1911;3085;303;3;2;1;2;N;S;S;A;Trindade;744331;6946697
298998;6102;49;5666;3922;2233;2511;539;1;1;0;1;SM;N;N;B;Trindade;744376;6946444
